type	time	latitude	longitude	name	desc
T	2017-07-17 14:10:12	41.841600000	-70.442400000		
T	2017-07-17 14:10:31	41.843000000	-70.441300000		
T	2017-07-17 14:10:51	41.844500000	-70.440300000		
T	2017-07-17 14:11:10	41.846000000	-70.439100000		
T	2017-07-17 14:11:31	41.847500000	-70.438100000		
T	2017-07-17 14:11:50	41.849000000	-70.437000000		
T	2017-07-17 14:12:11	41.850400000	-70.436000000		
T	2017-07-17 14:12:31	41.851900000	-70.434900000		
T	2017-07-17 14:12:51	41.853400000	-70.433800000		
T	2017-07-17 14:13:11	41.854900000	-70.432700000		
T	2017-07-17 14:13:31	41.856300000	-70.431600000		
T	2017-07-17 14:13:51	41.857800000	-70.430400000		
T	2017-07-17 14:14:11	41.859300000	-70.429300000		
T	2017-07-17 14:14:31	41.860700000	-70.428200000		
T	2017-07-17 14:14:50	41.862200000	-70.427000000		
T	2017-07-17 14:15:11	41.863700000	-70.425900000		
T	2017-07-17 14:15:33	41.865200000	-70.424700000		
T	2017-07-17 14:15:53	41.866800000	-70.423600000		
T	2017-07-17 14:16:12	41.868300000	-70.422400000		
T	2017-07-17 14:16:33	41.869700000	-70.421300000		
T	2017-07-17 14:16:53	41.871200000	-70.420200000		
T	2017-07-17 14:17:12	41.872700000	-70.419000000		
T	2017-07-17 14:17:33	41.874200000	-70.417900000		
T	2017-07-17 14:17:53	41.875700000	-70.416700000		
T	2017-07-17 14:18:13	41.877100000	-70.415500000		
T	2017-07-17 14:18:33	41.878600000	-70.414400000		
T	2017-07-17 14:18:53	41.880100000	-70.413200000		
T	2017-07-17 14:19:13	41.881500000	-70.412000000		
T	2017-07-17 14:19:33	41.883000000	-70.410900000		
T	2017-07-17 14:19:53	41.884500000	-70.409700000		
T	2017-07-17 14:20:13	41.886000000	-70.408600000		
T	2017-07-17 14:20:33	41.887500000	-70.407400000		
T	2017-07-17 14:20:53	41.888900000	-70.406300000		
T	2017-07-17 14:21:13	41.890400000	-70.405200000		
T	2017-07-17 14:21:33	41.891900000	-70.404000000		
T	2017-07-17 14:21:53	41.893400000	-70.402900000		
T	2017-07-17 14:22:13	41.894900000	-70.401800000		
T	2017-07-17 14:22:33	41.896400000	-70.400700000		
T	2017-07-17 14:22:53	41.897900000	-70.399600000		
T	2017-07-17 14:23:13	41.899400000	-70.398400000		
T	2017-07-17 14:23:33	41.900900000	-70.397300000		
T	2017-07-17 14:23:53	41.902400000	-70.396200000		
T	2017-07-17 14:24:13	41.903900000	-70.395100000		
T	2017-07-17 14:24:33	41.905400000	-70.394000000		
T	2017-07-17 14:24:53	41.907000000	-70.392900000		
T	2017-07-17 14:25:13	41.908500000	-70.391800000		
T	2017-07-17 14:25:32	41.910000000	-70.390700000		
T	2017-07-17 14:25:53	41.911500000	-70.389600000		
T	2017-07-17 14:26:13	41.913000000	-70.388500000		
T	2017-07-17 14:26:32	41.914500000	-70.387400000		
T	2017-07-17 14:26:53	41.916000000	-70.386300000		
T	2017-07-17 14:27:13	41.917500000	-70.385300000		
T	2017-07-17 14:27:35	41.919200000	-70.384200000		
T	2017-07-17 14:27:54	41.920700000	-70.383000000		
T	2017-07-17 14:28:15	41.922200000	-70.382000000		
T	2017-07-17 14:28:35	41.923700000	-70.380900000		
T	2017-07-17 14:28:55	41.925200000	-70.379800000		
T	2017-07-17 14:29:15	41.926800000	-70.378700000		
T	2017-07-17 14:29:35	41.928300000	-70.377600000		
T	2017-07-17 14:29:55	41.929800000	-70.376500000		
T	2017-07-17 14:30:15	41.931300000	-70.375400000		
T	2017-07-17 14:30:35	41.932900000	-70.374400000		
T	2017-07-17 14:30:54	41.934400000	-70.373300000		
T	2017-07-17 14:31:15	41.935900000	-70.372200000		
T	2017-07-17 14:31:35	41.937400000	-70.371100000		
T	2017-07-17 14:31:54	41.938900000	-70.370000000		
T	2017-07-17 14:32:15	41.940400000	-70.368900000		
T	2017-07-17 14:32:35	41.941900000	-70.367800000		
T	2017-07-17 14:32:54	41.943500000	-70.366700000		
T	2017-07-17 14:33:14	41.945000000	-70.365700000		
T	2017-07-17 14:33:35	41.946500000	-70.364600000		
T	2017-07-17 14:33:54	41.948000000	-70.363500000		
T	2017-07-17 14:34:14	41.949500000	-70.362400000		
T	2017-07-17 14:34:35	41.951100000	-70.361300000		
T	2017-07-17 14:34:54	41.952600000	-70.360200000		
T	2017-07-17 14:35:14	41.954100000	-70.359100000		
T	2017-07-17 14:35:35	41.955600000	-70.358100000		
T	2017-07-17 14:35:55	41.957100000	-70.357000000		
T	2017-07-17 14:36:14	41.958600000	-70.355900000		
T	2017-07-17 14:36:35	41.960100000	-70.354800000		
T	2017-07-17 14:36:55	41.961700000	-70.353700000		
T	2017-07-17 14:37:14	41.963200000	-70.352600000		
T	2017-07-17 14:37:35	41.964600000	-70.351500000		
T	2017-07-17 14:37:55	41.966200000	-70.350300000		
T	2017-07-17 14:38:14	41.967700000	-70.349200000		
T	2017-07-17 14:38:35	41.969200000	-70.348100000		
T	2017-07-17 14:38:55	41.970700000	-70.346900000		
T	2017-07-17 14:39:14	41.972100000	-70.345800000		
T	2017-07-17 14:39:35	41.973600000	-70.344700000		
T	2017-07-17 14:39:55	41.975100000	-70.343600000		
T	2017-07-17 14:40:15	41.976600000	-70.342400000		
T	2017-07-17 14:40:35	41.978100000	-70.341300000		
T	2017-07-17 14:40:55	41.979600000	-70.340200000		
T	2017-07-17 14:41:15	41.981100000	-70.339100000		
T	2017-07-17 14:41:34	41.982600000	-70.338000000		
T	2017-07-17 14:41:55	41.984100000	-70.336900000		
T	2017-07-17 14:42:15	41.985600000	-70.335700000		
T	2017-07-17 14:42:34	41.987100000	-70.334600000		
T	2017-07-17 14:42:55	41.988600000	-70.333500000		
T	2017-07-17 14:43:15	41.990000000	-70.332400000		
T	2017-07-17 14:43:34	41.991500000	-70.331300000		
T	2017-07-17 14:43:55	41.993000000	-70.330200000		
T	2017-07-17 14:44:15	41.994500000	-70.329100000		
T	2017-07-17 14:44:35	41.996000000	-70.328000000		
T	2017-07-17 14:44:55	41.997500000	-70.326900000		
T	2017-07-17 14:45:15	41.999000000	-70.325800000		
T	2017-07-17 14:45:35	42.000500000	-70.324700000		
T	2017-07-17 14:45:55	42.002000000	-70.323500000		
T	2017-07-17 14:46:15	42.003500000	-70.322400000		
T	2017-07-17 14:46:35	42.005000000	-70.321300000		
T	2017-07-17 14:46:55	42.006400000	-70.320200000		
T	2017-07-17 14:47:15	42.007900000	-70.319100000		
T	2017-07-17 14:47:34	42.009400000	-70.318000000		
T	2017-07-17 14:47:57	42.011000000	-70.316900000		
T	2017-07-17 14:48:17	42.012500000	-70.315800000		
T	2017-07-17 14:48:37	42.014000000	-70.314700000		
T	2017-07-17 14:48:57	42.015500000	-70.313600000		
T	2017-07-17 14:49:17	42.017000000	-70.312500000		
T	2017-07-17 14:49:36	42.018500000	-70.311400000		
T	2017-07-17 14:49:57	42.020000000	-70.310400000		
T	2017-07-17 14:50:17	42.021500000	-70.309200000		
T	2017-07-17 14:50:36	42.023000000	-70.308000000		
T	2017-07-17 14:50:57	42.024500000	-70.306900000		
T	2017-07-17 14:51:17	42.026100000	-70.305800000		
T	2017-07-17 14:51:39	42.027600000	-70.304700000		
T	2017-07-17 14:51:59	42.029200000	-70.303600000		
T	2017-07-17 14:52:19	42.030700000	-70.302600000		
T	2017-07-17 14:52:39	42.032200000	-70.301500000		
T	2017-07-17 14:52:59	42.033700000	-70.300400000		
T	2017-07-17 14:53:19	42.035200000	-70.299400000		
T	2017-07-17 14:53:39	42.036700000	-70.298300000		
T	2017-07-17 14:53:59	42.038200000	-70.297200000		
T	2017-07-17 14:54:19	42.039700000	-70.296100000		
T	2017-07-17 14:54:39	42.041200000	-70.295000000		
T	2017-07-17 14:54:58	42.042800000	-70.293800000		
T	2017-07-17 14:55:19	42.044300000	-70.292700000		
T	2017-07-17 14:55:39	42.045800000	-70.291600000		
T	2017-07-17 14:55:58	42.047300000	-70.290400000		
T	2017-07-17 14:56:19	42.048800000	-70.289300000		
T	2017-07-17 14:56:39	42.050300000	-70.288200000		
T	2017-07-17 14:56:59	42.051800000	-70.287100000		
T	2017-07-17 14:57:19	42.053200000	-70.285900000		
T	2017-07-17 14:57:39	42.054700000	-70.284600000		
T	2017-07-17 14:57:59	42.056100000	-70.283300000		
T	2017-07-17 14:58:19	42.057500000	-70.282000000		
T	2017-07-17 14:58:39	42.058800000	-70.280500000		
