type	time	latitude	longitude	name	desc
T	2018-05-17 18:10:05	43.309852000	-70.348082000		
T	2018-05-17 18:10:27	43.311512000	-70.347057000		
T	2018-05-17 18:10:49	43.313132000	-70.345920000		
T	2018-05-17 18:11:12	43.314755000	-70.344852000		
T	2018-05-17 18:11:33	43.316342000	-70.343657000		
T	2018-05-17 18:11:55	43.317892000	-70.342482000		
T	2018-05-17 18:12:17	43.319527000	-70.341465000		
T	2018-05-17 18:12:39	43.321078000	-70.340293000		
T	2018-05-17 18:13:01	43.322672000	-70.339218000		
T	2018-05-17 18:13:24	43.324248000	-70.338023000		
T	2018-05-17 18:13:46	43.325860000	-70.336960000		
T	2018-05-17 18:14:07	43.327465000	-70.335923000		
T	2018-05-17 18:14:29	43.329088000	-70.334947000		
T	2018-05-17 18:14:51	43.330630000	-70.333722000		
T	2018-05-17 18:15:13	43.332222000	-70.332563000		
T	2018-05-17 18:15:35	43.333802000	-70.331392000		
T	2018-05-17 18:15:58	43.335433000	-70.330413000		
T	2018-05-17 18:16:20	43.337028000	-70.329262000		
T	2018-05-17 18:16:41	43.338640000	-70.328177000		
T	2018-05-17 18:17:03	43.340238000	-70.327020000		
T	2018-05-17 18:17:25	43.341868000	-70.326012000		
T	2018-05-17 18:17:46	43.343445000	-70.324890000		
T	2018-05-17 18:18:09	43.345015000	-70.323712000		
T	2018-05-17 18:18:31	43.346632000	-70.322630000		
T	2018-05-17 18:18:53	43.348247000	-70.321613000		
T	2018-05-17 18:19:15	43.349827000	-70.320385000		
T	2018-05-17 18:19:37	43.351458000	-70.319365000		
T	2018-05-17 18:19:59	43.353028000	-70.318185000		
T	2018-05-17 18:20:21	43.354645000	-70.317133000		
T	2018-05-17 18:20:44	43.356252000	-70.316055000		
T	2018-05-17 18:21:06	43.357833000	-70.314877000		
T	2018-05-17 18:21:27	43.359427000	-70.313748000		
T	2018-05-17 18:21:49	43.361025000	-70.312622000		
T	2018-05-17 18:22:11	43.362622000	-70.311557000		
T	2018-05-17 18:22:33	43.364232000	-70.310427000		
T	2018-05-17 18:22:56	43.365850000	-70.309363000		
T	2018-05-17 18:23:17	43.367425000	-70.308252000		
T	2018-05-17 18:23:39	43.369002000	-70.307088000		
T	2018-05-17 18:24:01	43.370600000	-70.306053000		
T	2018-05-17 18:24:23	43.372175000	-70.304938000		
T	2018-05-17 18:24:45	43.373787000	-70.303895000		
T	2018-05-17 18:25:07	43.375338000	-70.302703000		
T	2018-05-17 18:25:30	43.376898000	-70.301540000		
T	2018-05-17 18:25:52	43.378493000	-70.300492000		
T	2018-05-17 18:26:13	43.380087000	-70.299450000		
T	2018-05-17 18:26:35	43.381657000	-70.298337000		
T	2018-05-17 18:26:57	43.383218000	-70.297238000		
T	2018-05-17 18:27:19	43.384813000	-70.296172000		
T	2018-05-17 18:27:42	43.386390000	-70.295048000		
T	2018-05-17 18:28:04	43.387968000	-70.293992000		
T	2018-05-17 18:28:26	43.389537000	-70.292847000		
T	2018-05-17 18:28:47	43.391125000	-70.291727000		
T	2018-05-17 18:29:09	43.392733000	-70.290627000		
T	2018-05-17 18:29:31	43.394357000	-70.289597000		
T	2018-05-17 18:29:53	43.395922000	-70.288390000		
T	2018-05-17 18:30:16	43.397537000	-70.287325000		
T	2018-05-17 18:30:38	43.399123000	-70.286175000		
T	2018-05-17 18:30:59	43.400723000	-70.285042000		
T	2018-05-17 18:31:21	43.402332000	-70.283928000		
T	2018-05-17 18:31:43	43.403922000	-70.282780000		
T	2018-05-17 18:32:05	43.405583000	-70.281782000		
T	2018-05-17 18:32:27	43.407158000	-70.280557000		
T	2018-05-17 18:32:49	43.408778000	-70.279490000		
T	2018-05-17 18:33:11	43.410380000	-70.278303000		
T	2018-05-17 18:33:33	43.412008000	-70.277303000		
T	2018-05-17 18:33:55	43.413617000	-70.276235000		
T	2018-05-17 18:34:17	43.415215000	-70.275050000		
T	2018-05-17 18:34:39	43.416793000	-70.273855000		
T	2018-05-17 18:35:01	43.418385000	-70.272738000		
T	2018-05-17 18:35:23	43.420018000	-70.271783000		
T	2018-05-17 18:35:45	43.421545000	-70.270563000		
T	2018-05-17 18:36:07	43.423127000	-70.269432000		
T	2018-05-17 18:36:29	43.424723000	-70.268365000		
T	2018-05-17 18:36:51	43.426288000	-70.267207000		
T	2018-05-17 18:37:13	43.427830000	-70.266008000		
T	2018-05-17 18:37:35	43.429407000	-70.264913000		
T	2018-05-17 18:37:57	43.431008000	-70.263850000		
T	2018-05-17 18:38:19	43.432597000	-70.262722000		
T	2018-05-17 18:38:42	43.434245000	-70.261780000		
T	2018-05-17 18:39:03	43.435795000	-70.260593000		
T	2018-05-17 18:39:25	43.437393000	-70.259523000		
T	2018-05-17 18:39:47	43.438962000	-70.258418000		
T	2018-05-17 18:40:09	43.440560000	-70.257357000		
T	2018-05-17 18:40:31	43.442138000	-70.256277000		
T	2018-05-17 18:40:53	43.443705000	-70.255088000		
T	2018-05-17 18:41:15	43.445313000	-70.254033000		
T	2018-05-17 18:41:37	43.446913000	-70.252942000		
T	2018-05-17 18:41:59	43.448527000	-70.251905000		
T	2018-05-17 18:42:21	43.450092000	-70.250740000		
T	2018-05-17 18:42:43	43.451665000	-70.249565000		
T	2018-05-17 18:43:05	43.453258000	-70.248433000		
T	2018-05-17 18:43:27	43.454890000	-70.247337000		
T	2018-05-17 18:43:49	43.456523000	-70.246292000		
T	2018-05-17 18:44:11	43.458122000	-70.245078000		
T	2018-05-17 18:44:33	43.459765000	-70.243992000		
T	2018-05-17 18:44:56	43.461398000	-70.242862000		
T	2018-05-17 18:45:18	43.463035000	-70.241765000		
T	2018-05-17 18:45:37	43.464512000	-70.240662000		
T	2018-05-17 18:45:59	43.466148000	-70.239605000		
T	2018-05-17 18:46:19	43.467638000	-70.238573000		
T	2018-05-17 18:46:42	43.469228000	-70.237368000		
T	2018-05-17 18:47:01	43.470680000	-70.236237000		
T	2018-05-17 18:47:23	43.472305000	-70.235130000		
T	2018-05-17 18:47:45	43.473928000	-70.234037000		
T	2018-05-17 18:48:07	43.475523000	-70.232898000		
T	2018-05-17 18:48:28	43.476975000	-70.231740000		
T	2018-05-17 18:48:50	43.478637000	-70.230800000		
T	2018-05-17 18:49:11	43.480262000	-70.229680000		
T	2018-05-17 18:49:33	43.481753000	-70.228230000		
T	2018-05-17 18:49:55	43.483372000	-70.227115000		
T	2018-05-17 18:50:18	43.484947000	-70.225872000		
T	2018-05-17 18:50:39	43.486373000	-70.224333000		
T	2018-05-17 18:51:01	43.487990000	-70.223195000		
T	2018-05-17 18:51:23	43.489588000	-70.222033000		
T	2018-05-17 18:51:45	43.491230000	-70.220958000		
T	2018-05-17 18:52:07	43.492773000	-70.219733000		
T	2018-05-17 18:52:29	43.494167000	-70.218138000		
T	2018-05-17 18:52:52	43.495438000	-70.216368000		
T	2018-05-17 18:53:13	43.496753000	-70.214638000		
T	2018-05-17 18:53:35	43.498455000	-70.213857000		
T	2018-05-17 18:53:57	43.500213000	-70.213400000		
T	2018-05-17 18:54:19	43.501930000	-70.212698000		
T	2018-05-17 18:54:40	43.503645000	-70.212000000		
T	2018-05-17 18:55:03	43.505365000	-70.211257000		
T	2018-05-17 18:55:25	43.507050000	-70.210338000		
T	2018-05-17 18:55:47	43.508752000	-70.209477000		
T	2018-05-17 18:56:09	43.510387000	-70.208405000		
T	2018-05-17 18:56:31	43.512042000	-70.207402000		
T	2018-05-17 18:56:53	43.513690000	-70.206358000		
T	2018-05-17 18:57:16	43.515313000	-70.205205000		
T	2018-05-17 18:57:37	43.516908000	-70.204095000		
T	2018-05-17 18:57:59	43.518512000	-70.202875000		
T	2018-05-17 18:58:21	43.520162000	-70.201858000		
T	2018-05-17 18:58:43	43.521768000	-70.200685000		
