,Tioga GOM,2017-07-16 23:41:33,2017-07-22 21:39:01
,ifcbfile,latitude,longitude
180,D20170718T230423_IFCB009.hdr,44.11895200517465,-68.14665782664942
181,D20170718T231035_IFCB009.hdr,44.1222625,-68.153071875
182,D20170718T231647_IFCB009.hdr,44.13773793103448,-68.17346206896552
183,D20170718T232259_IFCB009.hdr,44.152858620689656,-68.1951448275862
184,D20170718T232911_IFCB009.hdr,44.1695,-68.21738333333333
185,D20170718T233523_IFCB009.hdr,44.18690769230769,-68.24087692307693
186,D20170718T234135_IFCB009.hdr,44.20475,-68.26364615384615
187,D20170718T234746_IFCB009.hdr,44.221325,-68.2843125
188,D20170718T235358_IFCB009.hdr,44.23746818181818,-68.28438181818181
189,D20170719T000010_IFCB009.hdr,44.25293611111111,-68.28452777777777
190,D20170719T000622_IFCB009.hdr,44.269161764705885,-68.29424411764705
191,D20170719T001135_IFCB009.hdr,44.27354285714286,-68.31137142857143
192,D20170719T002258_IFCB009.hdr,44.27298483448451,-68.3192830164707
193,D20170719T120433_IFCB009.hdr,44.27172069116866,-68.30119604287464
194,D20170719T121413_IFCB009.hdr,44.27170327334889,-68.3009468340687
195,D20170719T122025_IFCB009.hdr,44.26458,-68.29028
196,D20170719T122637_IFCB009.hdr,44.26323,-68.28356
197,D20170719T123249_IFCB009.hdr,44.26481052631579,-68.26524210526316
198,D20170719T123901_IFCB009.hdr,44.267715,-68.24671000000001
199,D20170719T124513_IFCB009.hdr,44.27496666666667,-68.2252
200,D20170719T125125_IFCB009.hdr,44.28123333333333,-68.20193888888889
201,D20170719T125737_IFCB009.hdr,44.28696666666667,-68.17767777777779
202,D20170719T130349_IFCB009.hdr,44.292633333333335,-68.1532888888889
203,D20170719T131001_IFCB009.hdr,44.299275,-68.1292125
204,D20170719T131613_IFCB009.hdr,44.30590769230769,-68.09810769230769
205,D20170719T132225_IFCB009.hdr,44.3107923076923,-68.06589230769231
206,D20170719T132836_IFCB009.hdr,44.309706451612904,-68.03921612903225
207,D20170719T133448_IFCB009.hdr,44.30243793103448,-68.01256206896552
208,D20170719T134100_IFCB009.hdr,44.3003549325763,-68.00703910574876
209,D20170719T134712_IFCB009.hdr,44.29990610361959,-68.00695990063875
210,D20170719T135324_IFCB009.hdr,44.29945727466288,-68.00688069552874
211,D20170719T135936_IFCB009.hdr,44.29900844570617,-68.00680149041874
212,D20170719T140547_IFCB009.hdr,44.29925633802817,-68.00474929577464
213,D20170719T141159_IFCB009.hdr,44.30618,-67.98438
214,D20170719T141811_IFCB009.hdr,44.31551379310345,-67.96071379310345
215,D20170719T142424_IFCB009.hdr,44.324189999999994,-67.93278
216,D20170719T143035_IFCB009.hdr,44.33393448275862,-67.90563793103448
217,D20170719T143647_IFCB009.hdr,44.34442758620689,-67.87913793103448
218,D20170719T144259_IFCB009.hdr,44.35399655172414,-67.85289655172414
219,D20170719T144911_IFCB009.hdr,44.36175555555556,-67.82796666666667
220,D20170719T145523_IFCB009.hdr,44.3706125,-67.8038875
221,D20170719T150134_IFCB009.hdr,44.378077777777776,-67.78270833333333
222,D20170719T150746_IFCB009.hdr,44.38621111111111,-67.75960833333333
223,D20170719T151358_IFCB009.hdr,44.394240625,-67.735209375
224,D20170719T152010_IFCB009.hdr,44.403075,-67.71071875
225,D20170719T152622_IFCB009.hdr,44.41244,-67.68627
226,D20170719T153234_IFCB009.hdr,44.41759252336449,-67.67025981308412
227,D20170719T153845_IFCB009.hdr,44.416313580246914,-67.67125679012346
228,D20170719T154457_IFCB009.hdr,44.40562702702702,-67.6596891891892
229,D20170719T155109_IFCB009.hdr,44.393173684210524,-67.64366315789474
230,D20170719T155721_IFCB009.hdr,44.38104871794872,-67.62781282051282
231,D20170719T160332_IFCB009.hdr,44.3684,-67.6119
232,D20170719T160944_IFCB009.hdr,44.356319444444445,-67.59476388888889
233,D20170719T161556_IFCB009.hdr,44.34372222222222,-67.57734444444445
234,D20170719T162208_IFCB009.hdr,44.33690281690141,-67.56727605633803
235,D20170719T162820_IFCB009.hdr,44.32693448275862,-67.55626551724139
236,D20170719T163432_IFCB009.hdr,44.310231034482754,-67.53436896551725
237,D20170719T164043_IFCB009.hdr,44.29362222222222,-67.51258888888889
238,D20170719T164655_IFCB009.hdr,44.27567777777777,-67.49101111111112
239,D20170719T165307_IFCB009.hdr,44.25802,-67.46892857142858
240,D20170719T165919_IFCB009.hdr,44.25460618556701,-67.46795841924398
241,D20170719T170531_IFCB009.hdr,44.25227586206897,-67.46907931034482
242,D20170719T171143_IFCB009.hdr,44.23590769230769,-67.44877692307692
