type	time	latitude	longitude	name	desc
T	2018-07-18 14:36:16	43.361667000	-70.263500000		
T	2018-07-18 14:36:56	43.363167000	-70.262333000		
T	2018-07-18 14:37:36	43.364667000	-70.261000000		
T	2018-07-18 14:38:16	43.366167000	-70.259667000		
T	2018-07-18 14:38:56	43.367667000	-70.258333000		
T	2018-07-18 14:39:37	43.369167000	-70.257000000		
T	2018-07-18 14:40:18	43.370667000	-70.255833000		
T	2018-07-18 14:40:57	43.372167000	-70.254500000		
T	2018-07-18 14:41:37	43.373667000	-70.253167000		
T	2018-07-18 14:42:18	43.375167000	-70.251833000		
T	2018-07-18 14:42:59	43.376667000	-70.250500000		
T	2018-07-18 14:43:40	43.378167000	-70.249333000		
T	2018-07-18 14:44:19	43.379667000	-70.248000000		
T	2018-07-18 14:44:59	43.381167000	-70.246833000		
T	2018-07-18 14:45:40	43.382667000	-70.245500000		
T	2018-07-18 14:46:19	43.384167000	-70.244167000		
T	2018-07-18 14:46:58	43.385667000	-70.242833000		
T	2018-07-18 14:47:37	43.387167000	-70.241667000		
T	2018-07-18 14:48:18	43.388667000	-70.240333000		
T	2018-07-18 14:48:59	43.390167000	-70.239000000		
T	2018-07-18 14:49:38	43.391667000	-70.237833000		
T	2018-07-18 14:50:19	43.393167000	-70.236500000		
T	2018-07-18 14:50:59	43.394667000	-70.235333000		
T	2018-07-18 14:51:40	43.396167000	-70.234000000		
T	2018-07-18 14:52:21	43.397667000	-70.232667000		
T	2018-07-18 14:53:02	43.399000000	-70.231167000		
T	2018-07-18 14:53:39	43.400500000	-70.230000000		
T	2018-07-18 14:54:21	43.402000000	-70.228667000		
T	2018-07-18 14:55:01	43.403500000	-70.227500000		
T	2018-07-18 14:55:41	43.405000000	-70.226167000		
T	2018-07-18 14:56:23	43.406500000	-70.224833000		
T	2018-07-18 14:57:04	43.408000000	-70.223500000		
T	2018-07-18 14:57:47	43.409500000	-70.222167000		
T	2018-07-18 14:58:27	43.411000000	-70.220833000		
T	2018-07-18 14:59:07	43.412500000	-70.219667000		
T	2018-07-18 14:59:49	43.414000000	-70.218333000		
T	2018-07-18 15:00:30	43.415500000	-70.217000000		
T	2018-07-18 15:01:11	43.416833000	-70.215500000		
T	2018-07-18 15:01:51	43.418333000	-70.214167000		
T	2018-07-18 15:02:33	43.419833000	-70.213000000		
T	2018-07-18 15:03:13	43.421333000	-70.211667000		
T	2018-07-18 15:03:54	43.422667000	-70.210167000		
T	2018-07-18 15:04:33	43.424167000	-70.208833000		
T	2018-07-18 15:05:17	43.425667000	-70.207500000		
T	2018-07-18 15:05:57	43.427167000	-70.206000000		
T	2018-07-18 15:06:39	43.428667000	-70.204667000		
T	2018-07-18 15:07:21	43.430167000	-70.203333000		
T	2018-07-18 15:08:03	43.431667000	-70.202000000		
T	2018-07-18 15:08:44	43.433167000	-70.200667000		
T	2018-07-18 15:09:25	43.434667000	-70.199167000		
T	2018-07-18 15:10:07	43.436167000	-70.197833000		
T	2018-07-18 15:10:48	43.437667000	-70.196667000		
T	2018-07-18 15:11:30	43.439167000	-70.195333000		
T	2018-07-18 15:12:13	43.440667000	-70.193833000		
T	2018-07-18 15:12:55	43.442167000	-70.192500000		
T	2018-07-18 15:13:37	43.443667000	-70.191167000		
T	2018-07-18 15:14:20	43.445167000	-70.189833000		
T	2018-07-18 15:15:03	43.446667000	-70.188500000		
T	2018-07-18 15:15:46	43.448167000	-70.187167000		
T	2018-07-18 15:16:30	43.449667000	-70.185833000		
T	2018-07-18 15:17:14	43.451167000	-70.184500000		
T	2018-07-18 15:17:54	43.452667000	-70.183333000		
T	2018-07-18 15:18:37	43.454333000	-70.182667000		
T	2018-07-18 15:19:19	43.456000000	-70.181833000		
T	2018-07-18 15:20:02	43.457667000	-70.181000000		
T	2018-07-18 15:20:45	43.459333000	-70.180167000		
T	2018-07-18 15:21:28	43.460833000	-70.178833000		
T	2018-07-18 15:22:11	43.462167000	-70.177333000		
T	2018-07-18 15:22:53	43.463500000	-70.175833000		
T	2018-07-18 15:23:34	43.465000000	-70.174667000		
T	2018-07-18 15:24:14	43.466500000	-70.173500000		
T	2018-07-18 15:24:57	43.468000000	-70.172333000		
T	2018-07-18 15:25:38	43.469500000	-70.171000000		
T	2018-07-18 15:26:22	43.470833000	-70.169500000		
T	2018-07-18 15:27:02	43.472333000	-70.168167000		
T	2018-07-18 15:27:45	43.473667000	-70.166667000		
T	2018-07-18 15:28:25	43.475000000	-70.165167000		
T	2018-07-18 15:29:07	43.476333000	-70.163667000		
T	2018-07-18 15:29:46	43.477667000	-70.162167000		
T	2018-07-18 15:30:31	43.479167000	-70.160667000		
T	2018-07-18 15:31:13	43.480667000	-70.159333000		
T	2018-07-18 15:31:55	43.482167000	-70.158167000		
T	2018-07-18 15:32:39	43.483667000	-70.156833000		
T	2018-07-18 15:33:20	43.485167000	-70.155500000		
T	2018-07-18 15:34:02	43.486667000	-70.154167000		
T	2018-07-18 15:34:45	43.488167000	-70.152833000		
T	2018-07-18 15:35:27	43.489667000	-70.151667000		
T	2018-07-18 15:36:08	43.491167000	-70.150500000		
T	2018-07-18 15:36:52	43.492667000	-70.149167000		
T	2018-07-18 15:37:34	43.494167000	-70.147833000		
T	2018-07-18 15:38:15	43.495500000	-70.146333000		
T	2018-07-18 15:38:59	43.497000000	-70.144833000		
T	2018-07-18 15:39:43	43.498500000	-70.143500000		
T	2018-07-18 15:40:26	43.499833000	-70.142000000		
T	2018-07-18 15:41:06	43.501333000	-70.140833000		
T	2018-07-18 15:41:48	43.502667000	-70.139333000		
T	2018-07-18 15:42:30	43.504167000	-70.138000000		
T	2018-07-18 15:43:14	43.505667000	-70.136667000		
T	2018-07-18 15:43:58	43.507167000	-70.135333000		
T	2018-07-18 15:44:41	43.508500000	-70.133833000		
T	2018-07-18 15:45:23	43.510000000	-70.132500000		
T	2018-07-18 15:46:06	43.511500000	-70.131167000		
T	2018-07-18 15:46:51	43.513000000	-70.129833000		
T	2018-07-18 15:47:35	43.514500000	-70.128500000		
T	2018-07-18 15:48:18	43.515833000	-70.127000000		
T	2018-07-18 15:48:58	43.517333000	-70.125833000		
T	2018-07-18 15:49:42	43.518833000	-70.124500000		
T	2018-07-18 15:50:26	43.520333000	-70.123000000		
T	2018-07-18 15:51:11	43.521833000	-70.121667000		
T	2018-07-18 15:51:55	43.523333000	-70.120333000		
T	2018-07-18 15:52:38	43.524833000	-70.119000000		
T	2018-07-18 15:53:22	43.526333000	-70.117500000		
T	2018-07-18 15:54:05	43.527833000	-70.116167000		
T	2018-07-18 15:54:49	43.529333000	-70.114833000		
T	2018-07-18 15:55:32	43.530833000	-70.113667000		
T	2018-07-18 15:56:14	43.532167000	-70.112167000		
T	2018-07-18 15:56:55	43.533667000	-70.111000000		
T	2018-07-18 15:57:38	43.535167000	-70.109667000		
T	2018-07-18 15:58:20	43.536500000	-70.108167000		
T	2018-07-18 15:59:00	43.538000000	-70.107000000		
T	2018-07-18 15:59:45	43.539500000	-70.105500000		
T	2018-07-18 16:00:28	43.541000000	-70.104167000		
T	2018-07-18 16:01:11	43.542500000	-70.102833000		
T	2018-07-18 16:01:55	43.544000000	-70.101500000		
T	2018-07-18 16:02:37	43.545500000	-70.100167000		
T	2018-07-18 16:03:21	43.547000000	-70.098833000		
T	2018-07-18 16:04:04	43.548500000	-70.097500000		
T	2018-07-18 16:04:46	43.550000000	-70.096000000		
T	2018-07-18 16:05:28	43.551500000	-70.094833000		
