,Gulf Challenger Harpswell,2018-05-17 15:53:21,2018-05-19 21:13:48
,ifcbfile,latitude,longitude
110,D20180518T062108_IFCB009.hdr,43.653537044916014,-70.24814373861302
111,D20180518T062837_IFCB009.hdr,43.65354134002071,-70.24812646362312
112,D20180518T063606_IFCB009.hdr,43.65354563512541,-70.24810918863321
113,D20180518T064335_IFCB009.hdr,43.653549930230106,-70.24809191364331
114,D20180518T065104_IFCB009.hdr,43.65355422533481,-70.24807463865339
115,D20180518T065833_IFCB009.hdr,43.6535585204395,-70.24805736366349
116,D20180518T070602_IFCB009.hdr,43.653562815544205,-70.24804008867358
117,D20180518T071331_IFCB009.hdr,43.6535671106489,-70.24802281368368
118,D20180518T072100_IFCB009.hdr,43.6535714057536,-70.24800553869376
119,D20180518T072829_IFCB009.hdr,43.6535757008583,-70.24798826370386
120,D20180518T073558_IFCB009.hdr,43.653579995963,-70.24797098871394
121,D20180518T074327_IFCB009.hdr,43.653584291067695,-70.24795371372404
122,D20180518T075056_IFCB009.hdr,43.6535885861724,-70.24793643873413
123,D20180518T075825_IFCB009.hdr,43.6535928812771,-70.24791916374423
124,D20180518T080554_IFCB009.hdr,43.653597176381794,-70.24790188875431
125,D20180518T081323_IFCB009.hdr,43.653601471486496,-70.24788461376441
126,D20180518T082052_IFCB009.hdr,43.65360576659119,-70.24786733877451
127,D20180518T082821_IFCB009.hdr,43.65361006169589,-70.2478500637846
128,D20180518T083550_IFCB009.hdr,43.65361435680059,-70.2478327887947
129,D20180518T084319_IFCB009.hdr,43.65361865190529,-70.24781551380478
130,D20180518T085048_IFCB009.hdr,43.653622947009985,-70.24779823881488
131,D20180518T085817_IFCB009.hdr,43.65362724211469,-70.24778096382497
132,D20180518T090546_IFCB009.hdr,43.65363153721938,-70.24776368883506
133,D20180518T091315_IFCB009.hdr,43.653635832324085,-70.24774641384515
134,D20180518T092044_IFCB009.hdr,43.65364012742878,-70.24772913885525
135,D20180518T092813_IFCB009.hdr,43.65364442253348,-70.24771186386533
136,D20180518T093542_IFCB009.hdr,43.65364871763818,-70.24769458887543
137,D20180518T094310_IFCB009.hdr,43.65365300317694,-70.24767735235989
138,D20180518T095039_IFCB009.hdr,43.653657298281644,-70.24766007736999
139,D20180518T095808_IFCB009.hdr,43.65366159338634,-70.24764280238007
140,D20180518T100537_IFCB009.hdr,43.65366588849104,-70.24762552739017
141,D20180518T101306_IFCB009.hdr,43.653670183595736,-70.24760825240025
142,D20180518T102035_IFCB009.hdr,43.65367447870044,-70.24759097741035
143,D20180518T102804_IFCB009.hdr,43.65367877380513,-70.24757370242044
144,D20180518T103533_IFCB009.hdr,43.653683068909835,-70.24755642743054
145,D20180518T104302_IFCB009.hdr,43.65368736401453,-70.24753915244062
146,D20180518T105031_IFCB009.hdr,43.65369165911923,-70.24752187745072
147,D20180518T110700_IFCB009.hdr,43.65370111982869,-70.2474838263037
148,D20180518T112834_IFCB009.hdr,43.65371349814824,-70.24743404047531
149,D20180518T113633_IFCB009.hdr,43.658228513513514,-70.23022351351351
150,D20180518T114401_IFCB009.hdr,43.631332,-70.20986342857142
151,D20180518T115130_IFCB009.hdr,43.62382943478261,-70.16401734782609
152,D20180518T115859_IFCB009.hdr,43.63969845454545,-70.12081163636364
153,D20180518T120628_IFCB009.hdr,43.65578863636364,-70.07755322727272
154,D20180518T121357_IFCB009.hdr,43.683299086956524,-70.04735495652173
155,D20180518T122126_IFCB009.hdr,43.714155363636365,-70.02195081818182
156,D20180518T122855_IFCB009.hdr,43.74496459459459,-70.00027794594594
157,D20180518T123624_IFCB009.hdr,43.754493499999995,-69.99322825
158,D20180518T124353_IFCB009.hdr,43.78107451851852,-69.97564937037036
159,D20180518T125122_IFCB009.hdr,43.793364223728815,-69.9584949322034
160,D20180518T125851_IFCB009.hdr,43.79410012711865,-69.95995227966101
161,D20180518T130620_IFCB009.hdr,43.79356520125786,-69.96496661425577
162,D20180518T131349_IFCB009.hdr,43.79300042138365,-69.96574977568135
163,D20180518T132118_IFCB009.hdr,43.787141,-69.97129422222221
164,D20180518T132847_IFCB009.hdr,43.76788833333333,-69.98042433333333
165,D20180518T133616_IFCB009.hdr,43.75380341434263,-69.9927258685259
166,D20180518T134345_IFCB009.hdr,43.752551048,-69.9937872
167,D20180518T135114_IFCB009.hdr,43.751406636800006,-69.99445172
168,D20180518T135843_IFCB009.hdr,43.73946585,-70.00313725
169,D20180518T140612_IFCB009.hdr,43.72246387179487,-70.0162275897436
170,D20180518T141341_IFCB009.hdr,43.70641815873016,-70.01795852380953
171,D20180518T142110_IFCB009.hdr,43.705511814049586,-70.01930495041321
172,D20180518T142839_IFCB009.hdr,43.70390020088627,-70.02222531166913
173,D20180518T143608_IFCB009.hdr,43.703360608695654,-70.02377794782609
174,D20180518T144337_IFCB009.hdr,43.697555,-70.026153
175,D20180518T145106_IFCB009.hdr,43.687571999999996,-70.00749533333334
176,D20180518T145835_IFCB009.hdr,43.687450749999996,-69.9799425
177,D20180518T150604_IFCB009.hdr,43.68747227806122,-69.97467546938776
178,D20180518T151333_IFCB009.hdr,43.68899980769231,-69.97638588461538
179,D20180518T152102_IFCB009.hdr,43.68894917948718,-69.9773797094017
180,D20180518T152831_IFCB009.hdr,43.677020195121955,-69.97467141463414
181,D20180518T153559_IFCB009.hdr,43.657772105263156,-69.97025973684211
182,D20180518T154328_IFCB009.hdr,43.6376613,-69.96688507500001
183,D20180518T155057_IFCB009.hdr,43.636560403361344,-69.9678011092437
184,D20180518T155826_IFCB009.hdr,43.63649371186441,-69.96889971186441
185,D20180518T160555_IFCB009.hdr,43.631155658536585,-69.96344914634146
186,D20180518T161324_IFCB009.hdr,43.61458312820513,-69.9493438974359
187,D20180518T162053_IFCB009.hdr,43.59758852631579,-69.93547094736842
188,D20180518T162822_IFCB009.hdr,43.59423445355191,-69.93291833333333
189,D20180518T163550_IFCB009.hdr,43.59469627764128,-69.93426918673218
190,D20180518T164319_IFCB009.hdr,43.595688520661156,-69.9361799752066
191,D20180518T165048_IFCB009.hdr,43.60865123529412,-69.93898291176471
192,D20180518T165817_IFCB009.hdr,43.63055905882353,-69.94840823529412
193,D20180518T170546_IFCB009.hdr,43.652660205882356,-69.95769964705882
194,D20180518T171315_IFCB009.hdr,43.675046125,-69.967156
195,D20180518T172044_IFCB009.hdr,43.69388484848485,-69.98356833333334
196,D20180518T172813_IFCB009.hdr,43.69819712337662,-70.00946753896103
197,D20180518T173542_IFCB009.hdr,43.69999141309255,-70.00999414446953
198,D20180518T174311_IFCB009.hdr,43.7052175,-70.01835475
199,D20180518T175040_IFCB009.hdr,43.703094915611814,-70.02332496624473
